CÓDIGO	                 INSTITUCIÓN
MIHSV111402200-0X	Procuraduría para la Defensa delos Derechos Humanos(PDDH)	
MIHSV111402100-0X	Procuraduría General de la República (PGR)	
MIHSV111300300-0X	Presidencia De La República (PRESIDENCIA)	
MIHSV112100306-0X	Organismo Promotor De Exportaciones E Inversiones De El Salvador (PROESA)	
MIHSV112102501-0X	Registro Nacional de las Personas Naturales(RNPN)	
MIHSV112101308-0X	Superintendencia De Competencia (SC)	
MIHSV112201303-0X	Superintendencia General De Electricidad Y Telecomunicaciones (SIGET)	
MIHSV222209100-0X	Superintendencia Del Sistema Financiero (SSF)	
MIHSV111502700-0X	Tribunal De Ética Gubernamental (TEG)	
MIHSV111502600-0X	Tribunal De Servicio Civil (TSC)	
MIHSV111502500-0X	Tribunal Supremo Electoral (TSE)	
MIHSV112101001-0X	Universidad De El Salvador (UES)	
MIHSV112100902-0X	Unidad Técnica Ejecutiva Del Sector Justicia (UTE)
